utt_id,audio_path,reference,Accent,Age,Gender,Background,Sentiment,District,State,Other,audio_drive_id,audio_filename
13-00085-06,./Audio/13-00085-06.mp3,में भी मानसून मेहरबान नहीं हुआ तो पिछले एक दशक में सबसे कम बारिश दर्ज होगी में मिलेगी चौवन हजार से ज्यादा नौकरी,,Adult,Female,,Serious,,,audio_jump,1zRfD4tQs7d9h86atGNV1vM9Dg6N7NHZO,13-00085-06.mp3
13-00087-01,./Audio/13-00087-01.mp3,ऐसी ज्यादा नौकरी केंद्र सरकार ने सरकारी नौकरियों का पिटारा खोल दिया है इस साल शुरू करने का फैसला लिया है इसके तहत,Bihari,Adult,Female,,Serious,,Bihar,audio_break,1GwKYVRiJyyDJYzk3WzZWjepKIpr01ZPX,13-00087-01.mp3
13-00085-03,./Audio/13-00085-03.mp3,अनुभुज पहली बना हुआ हैं अ वर्षा की स्थिती ने लोगों को बेचैन कर रखा हैं लोगों में बारिश की आभाव में व्याकुलता बढ़ती जा रही हैं इधर मानसून एंव मौसम सेजुड़ी,,Adult,Female,,Serious,,,,1H3TtZ_g5utWsYy-sVvSEQ3TXiwzpAYvc,13-00085-03.mp3
13-00087-03,./Audio/13-00087-03.mp3,M गारी A और सचिवालय सुरक्षा बल में कुल चालीस हजार तीनसो सात रिक्त पढ़ निकाले गए है जब की,,,,,,,,audio_break,1U9D1kbtEik_eCHtxFizL4P3HaS7Poqlx,13-00087-03.mp3
13-00087-04,./Audio/13-00087-04.mp3,लिया है सी आर पी जी एफ में इक्कीसों छियासठ पदों आरोप नियुक्तियाँ होनी है होनी है सरकारी नौकरियों के ताजे विज्ञापन में,,,,,,,,audio_break,1mtmbzK2WZ3jWIL8D-Mv1iM5VA4D2PItS,13-00087-04.mp3
13-00087-05,./Audio/13-00087-05.mp3,में चलने ऐसी माना कर दिया टेबल टेनिस के इन खिलाड़ियों को रविवार को मेलबोर्न रवाना होना था भारतीय टीम में सत्र खिलाड़ी शामिल थे जिन्हें,,Adult,Female,,Serious,,,audio_break,1wyguMJUmz2nPOza5C72Kk9i146okTlgP,13-00087-05.mp3
13-00089-04,./Audio/13-00089-04.mp3,जिन्हें गारी टी टी एफ वर्ल्ड टूर ऑस्ट्रिलियन ओपन में हिस्सा लेना था,,Adult,Female,,Serious,,,,16UjUm8neBDxQMiJLpgnafmkBBvUYshWx,13-00089-04.mp3
13-00088-01,./Audio/13-00088-01.mp3,"हर अरे मोबाइल वाणी के मध्य ऐसी कहते हैं की मुंगेर की ['माँझी', 'टोला'] में करीब सौ बच्चों की बीच कॉपी और पेंसिलों का वेतन किया गया जिससे बच्चों के चेहरे आरोप इस पर",,Adult,Female,,Serious,,,,17yiE59EFDUtDo636q5xet_PqMPZI__Sn,13-00088-01.mp3
13-00088-03,./Audio/13-00088-03.mp3,धान की रूपए की स्थिती दयनीय होती दिखाई दे रही हैं सबसे ख़राब स्थिति मुंगेर जमुई और लखीसराय खड़गपुर जिले की हैं इस बार की वर्षा धरती की प्यास तक नहीं बुझा पाई हैं,,Adult,Female,,Serious,,,,1sZ83JHvxGhK_xebFBrZYCnX_qn8kWaua,13-00088-03.mp3
13-00088-04,./Audio/13-00088-04.mp3,कृषि कारी प्रगति ऐसी जुड़ा हुआ हैं लाख किसान वैज्ञानिक तरीके ऐसी खेती भी कर ले आरोप माटी को इस मौसम में बारिश ही चाहिए अभी सुखाड़ जैसी स्थिती उत्पन हो गयी हैं,,Adult,Female,,Serious,,,,1LoGdY7g2nX5lftlFpHYCAD64YsM5q0JY,13-00088-04.mp3
13-00089-01,./Audio/13-00089-01.mp3,रहे हैं जबकि महिला कांस्टेबल ओन के लिए के लिए साथ छह सौ छियालीस और अब समाचार खेल जगत ऐसी जगत ऐसी मनिका को एयर इंडिया ने नहीं दी,Bihari,Adult,Female,,Serious,,Bihar,"audio_jump,inaudible",1d6B1sLE3ob-p-GD8RL5MDnEQTMhb41ZI,13-00089-01.mp3
13-00088-02,./Audio/13-00088-02.mp3,मुंगेर में गंगा के जल स्थर में हो रहे वृद्धि ऐसी तथ्य्वर्ती इलाकों में रहने वाले लोग भय भीत हो रहे दिख रहे हैं बिहार राज्य के मुंगेर जिला ऐसी,,Adult,Female,,Serious,,,,14UcmYChRZ6IWCB1I6fF06kdhZ6NlMw0H,13-00088-02.mp3
13-00090-03,./Audio/13-00090-03.mp3,खुद को परेशान कर क्यूँ श्रोताओं कैसे लगा आपको समाचार संध्या का यह अंश हमें ज़रूर बताएँ नंबर तीन दबा कर और ऐसे ही ख़बरों के लिए सुनते रहे,,Adult,Female,,Serious,,,,1aXpxwkgRnBOaGAoYsWlN-kO3EVr_BWfU,13-00090-03.mp3
13-00090-05,./Audio/13-00090-05.mp3,नमस्कार श्रोताओं मैं श्रुति लेकर आई हूँ बिहार मोबाइल वाणी आरोप शाम की सुर्खिया,Bihari,Adult,Female,Music,Serious,,Bihar,,1dg8VoaP4xNGyGotNvbSK6g1PBnwSNC3n,13-00090-05.mp3
13-00093-03,./Audio/13-00093-03.mp3,दो सौ पचास रूपए ऐसी भी खुलवाया जा सकता हैं सुकन्या समृधि योजना में खाता खबर हैं नई दिल्ली ऐसी सरकार ने सुकन्या समृधि योजना के तहत न्यूनतम सालाना जमा अनिवार्य,Bihari,Adult,Female,,Serious,,Bihar,,1S6UKFU1zhhYWxNSnjb-PU7SISH3M3uRx,13-00093-03.mp3
13-00091-01,./Audio/13-00091-01.mp3,सुकन्या समृधि स्कीम सन दो हज़ार पंद्रह में लांच की गयी थी लांच की गयी थी नवम्बर दो हज़ार सत्रह तक देश भर ऐसी करीब एक,Bihari,Adult,Female,,Serious,,Bihar,audio_jump,18Brnwj4gUUhqzmiZQjbQWF-POreRUbiN,13-00091-01.mp3
13-00091-03,./Audio/13-00091-03.mp3,एक्ट अपरेंटिस क्रिशिक्षित युवकों को नहीं मिल रहा हैं रोज़गार खबर हैं मुंगेर ऐसी ओल इंडिया रेलवे एक्ट अपरेंटिस के बैनर तले रविवार को बंगाली दुर्गास्थान ईस्ट कॉलोनी जबलपुर में एक आम सभा का आयोजन कर एक्ट अपरेंटिस कर्मियों ने इ,Bihari,Adult,Female,Music,Serious,,Bihar,audio_jump,1stXqnnanlRp4ep4aRfafeFs5uCdNSQNo,13-00091-03.mp3
13-00091-04,./Audio/13-00091-04.mp3,विरोध करेगी पूरे बिहार में लगभग पैतीस हजार तथा मुंगेर में साथ हजार प्रसिक्षू एक्ट अपरेंटिस युवक रेलवेज ऐसी प्रशिक्षण प्रशिक्षण कर नियुक्ति के,Bihari,Adult,Female,Music,Serious,,Bihar,audio_jump,1y1cCGmW8tzh6KX9SO4X54Or8OCq5YJ-G,13-00091-04.mp3
13-00092-02,./Audio/13-00092-02.mp3,कर नियुक्ति के आस में बैठे हैं खगड़िया में रेल पटरी में रेल पटरी क्रैक करने ऐसी,Bihari,Adult,Female,,,,Bihar,audio_break,1Z_9IgoVCBo7fGp49TbD-XgQUifpFu4N1,13-00092-02.mp3
13-00092-03,./Audio/13-00092-03.mp3,करने ऐसी बीस मिनट' तक परिचलन बाधित खबर है खगड़िया ऐसी बरौनी कटिहार रेलखंड के 'मा,Bihari,Adult,Female,,,,Bihar,audio_jump,1St9kToYAa4vHZioy7eE_ysb8lB0xtubK,13-00092-03.mp3
13-00092-05,./Audio/13-00092-05.mp3,रहा जानकारी के अनुसार मानसी जंक्शन चोदाह बननी हाल्ट के बीच हाल्ट के बीच डाउन लाइन की पटरी,Bihari,Adult,Female,,,,Bihar,audio_break,1noG9AwuK8lUtJjBD5rdoCIN11xI37PPw,13-00092-05.mp3
13-00092-04,./Audio/13-00092-04.mp3,की पटरी एक एक शून्य दो आठ दो छह किलोमीटर के पास क्रैक कर थी घटना घटी घटना रविवार शाम छह बजकर चालीस मिनट की है,Bihari,Adult,Female,,,,Bihar,audio_break,1-VutjyHj9dw8nubqR8iLrdbo3TGVNvNi,13-00092-04.mp3
13-00094-01,./Audio/13-00094-01.mp3,वौइस् सूचना मानसी स्टेशन को दी गयी मानसी आर पी जी एफ इंस्पेक्टर विद्द्यासागर पांडे ने बताया की सूचना ऊपर,,,Female,,,,,,11pscM0D0nzmwqOnvUsVJX_drUsDYGu_e,13-00094-01.mp3
13-00094-02,./Audio/13-00094-02.mp3,वौइस् ट्रैफिक व्यवस्था को दुरुस्त कराने के लिए दरभंगा पुलिस ने एड लांच किया हैं पुलिस प्रसाशन आर टी ओ और डी टी ओ के माध्यम ऐसी इनमें,,,Female,,,Darbhanga,Bihar,,1lmrudQn96p1ft5Dkt9gj4RUj14nQY5o-,13-00094-02.mp3
13-00094-05,./Audio/13-00094-05.mp3,वौइस् बहोत हदतक शहरी क्षेत्र में ट्रैफिक की समस्या ऐसी लोगों को मुक्ति मिलेगी रविवार को आपने कार्यालय कक्षा में एस एस पी जी मनोज कुमार ने यह जानकारी दी कहा की,,,Female,,,,,,1Wcl86vz4Xr8o81B1ZkRWSerW1JR_wOeX,13-00094-05.mp3
13-00094-06,./Audio/13-00094-06.mp3,कहा की इसके माध्यम से शहर के सड़कों पर मात्र उतने ही टेम्पो दिखेंगे जितने शहरी क्षेत्र के लिए परमिट जारी किया गया है,,Adult,Female,,,,,,1X4rh-PZv-rVmf7HDuu6p8Kp11E1yqkJI,13-00094-06.mp3
13-00095-01,./Audio/13-00095-01.mp3,दिल्ली ऐसी श्रीलंका और दक्षिण अफ्रीका के बीच खेले गए दो टेस्ट मैचों की सीरीज में प्रोटिअस का जो हाल हुआ उसके बाद,,Adult,Female,,Serious,,,,1F2f6zvUbC45n0vwPhCB-UK-L6iXr7EPl,13-00095-01.mp3
13-00095-04,./Audio/13-00095-04.mp3,नमस्कार श्रोताओं में अंजलि बिहार मोबाइलवाणी पे लेकर आई हूँ सुबह की सुर्खियाँ कृषि मानती ने कहा,,Adult,Female,,Serious,,,,1LMDU5SiU_PI92Z5V_6zBtlKFJWJ0E-dj,13-00095-04.mp3
13-00096-01,./Audio/13-00096-01.mp3,था गर इस तारीख तक नहीं हुई बारिश तो सुखा ग्रस्त घोषित होगा प्रदेश खबर हैं पटना ऐसी ऐसी बिहार के कृषिमंत्री प्रेम कुमार ने कहा है की,,Adult,Female,,Serious,,,,1HSe6NEYczISn9Jq_ggouIpClsIavoyPj,13-00096-01.mp3
13-00096-02,./Audio/13-00096-02.mp3,की यदि एकतीस जुलाई तक बारिश नहीं होती हैं तो प्रदेश को सुखा ग्रस्त घोषित कर दिया जायेगा इस इस ऐसी पहले मुखिया मंत्री नीतिश कुमार ने कहा हैं की कहा हैं की प्रदेश में सुखार अभी हमारे सामने,,Adult,Female,,Serious,,,,1I77pPiJeIs51bC1ugR0OLSOdpk2MxWT-,13-00096-02.mp3
13-00096-03,./Audio/13-00096-03.mp3,सामने सबसे बड़ी चुनौती हैं टी हैं लेकिन हम इसके लिए तैयार हैं मुख्या मंत्री नीतिश कुमार ने सचिवालय स्थित संवाद में डीजल अनुदान का किसानों के बैंक खाते में ऑनलाइन अंतरण कार्यक्रम का शुभारम्भ करते हुए कहा की,,Adult,Female,,Serious,,,,1uFxqHRVg4ujgmX8ds5ZGXkbtRVOFYymg,13-00096-03.mp3
13-00096-05,./Audio/13-00096-05.mp3,खबर हैं मुजफ्फरपुर ऐसी सदर अस्पताल में माँ और बच्चों को बेहतर इलाज की सुविधा दी जाएगी,,Adult,Female,,Serious,,,,1_BDrN3WybtZ7IjcXwMIZ6MAi7Va_lLad,13-00096-05.mp3
13-00096-04,./Audio/13-00096-04.mp3,कहा की इतने कम समय में आज एक नई प्रक्रिया की शुरुआत की गयी हैं जिस जिसमे किसानों की बैंक खाते में डीजल अनुदान का पैसा डायरेक्ट ऑनलाइन हस्तांतरित होगा,,Adult,Female,Music,Serious,,,,16yme2YdaBeOD4AG8O0TflPhp159YeMk6,13-00096-04.mp3
13-00096-06,./Audio/13-00096-06.mp3,इस को लेकर अस्पताल परिसर में बीस करोड़ रूपए खर्च कर मातृ शिशु अस्पताल बनाया जायेगा यहाँ प्रसव के बाद जच्चा और बच्चा की बेहतर देखभाल किए जाएगी करीब सौ बेड का यह अस्पताल सभी सुविधाओं ऐसी लैश होगा,Bihari,Adult,Female,,Serious,,Bihar,,1fmFI-9jtMz4tCChpcjJ3hcHDfY2hKKvi,13-00096-06.mp3
13-00098-05,./Audio/13-00098-05.mp3,सर्व मानको का हवाला देते हुए मंडी बोर्ड ने भी सभी मंडी समितियों को एक साल पहले निर्देश दिए थे की जिंसों के बोरों का वजन पचास किलोग्राम से अधिक न रखा जाए कारोबारियों को मिलेगी राहत,Bihari,Adult,Female,,,,Bihar,,1fHVvKGtLL1wf6mYjmbI429fEgAVUZpaw,13-00098-05.mp3
13-00097-02,./Audio/13-00097-02.mp3,मंडी समिति की छबीस जुलाई को होने वाली बोर्ड बैठक में ये प्रस्ताव शामिल हैं मंडी में हमाल की समय एक सवा कुइतल का बोरा आराम ऐसी उठा लेते थे लेकिन अब उनकी शारीरिक क्षमता गत,,Adult,Female,Music,Sad,,,audio_jump,1ySKHwXohPUQvuiyBE2fM2SCtfwguERz2,13-00097-02.mp3
13-00097-01,./Audio/13-00097-01.mp3,खबरें जी एस टी रिटर्न खबर हैं न्यू डेल्ही ऐसी जी एस टी रिटर्न की प्रक्रिया सरल बना कर बना कर कारोबारों को राहत देने की घोषणा करने के बाद के बाद सरकार एक ऐसा उपाय,,Adult,Female,Music,Happy,,New_delhi,audio_jump,1BtAjQil6i8okssCLH5DbYdXxtxuGzr5T,13-00097-01.mp3
13-00099-02,./Audio/13-00099-02.mp3,आरोप अखिल भारतीय व्यवसायी परीक्षा दो हजार अठारह सेमेस्टर एक ऐसी लेकर लेकर चार तक की परीक्षा आज ऐसी शुरू हो चुकी हैं यह परीक्षा चौबीस जुलाई ऐसी सोलह अगस्ट तक अगस्त तक मधुबनी जिले के तीनों केन्द्रों आरोप संचालित होगी,Bihari,Adult,Male,,,,Bihar,audio_jump,1DOPpzqF3iDYZ38mh8fMcSMxi636l0aQu,13-00099-02.mp3
13-00097-06,./Audio/13-00097-06.mp3,बिहार राज्य के मधुवनी जिला के खजौली प्रखंड ऐसी खंड ऐसी रवानंद सिंह जी मुगलबानी की माध्यम ऐसी बताते हैं की मधुवनी जिला के झंझारपुर के बेला राही स्थिर स्थिर बिहार आईडिया प्रशिक्षण केंद्र पर अब,,Adult,Female,Music,,,,audio_jump,1H7LTRLcjErF4JCgrreCAksKXOohKbw2r,13-00097-06.mp3
13-00099-03,./Audio/13-00099-03.mp3,अगले हफ्ते ऐसी शुरू होने वाली हैं वाली हैं हर तरफ हर्ष और उलहास का माहौल छाया हुआ हैं हुआ हैं काँवरियों में ज्यादा उत्साह देखने देखने को मिल रहा हैं अभी ऐसी कांवरियां अपने अपने कांवर को सँभालने की तैयारी में जुट च,Bihari,Adult,Male,,,,Bihar,,1NejFcZ-s1E7KNXPI5OAhgw6rAhgkeOGe,13-00099-03.mp3
13-00101-01,./Audio/13-00101-01.mp3,नमस्कार आदाब श्रोताओं मैं बसंती आपके लिए लेकर आई हूँ मुंगेर मोबाइल वाणी आरोप अये दिन भर की ख़बरों का सारा समाचार,Bihari,Adult,Female,,Serious,,Bihar,,1hDGXJmNfHAcEQmwmlMWzz2W99ErY6ISV,13-00101-01.mp3
13-00099-06,./Audio/13-00099-06.mp3,उसुल्मा हुआ तथा लोगों को राहत मिली मुंगेर प्रखंड क्षेत्र में गर्मी तथा उम्मस के उम्मस के बाद सोमवार को मुंगेर जिले में कई जगहों आरोप हुई बूंदा बूंदी हुई,Bihari,Adult,Female,,,,Bihar,,1HaSopfpJVlGUkF2_OqOlB2XIYMV82QVG,13-00099-06.mp3
13-00101-05,./Audio/13-00101-05.mp3,हो गया है तथा लोगों को राहत भी मिल गई है वहीं मौसम विभाग का कहना है की अगले एक सप्ताह के अन्दर तापमान में और भी कमी आने की उम्मीद है,Bihari,Adult,Female,,Serious,,Bihar,,1R2Y5i0BcpApEaHeMkoU7ykNL_pOA2ZyG,13-00101-05.mp3
13-00101-06,./Audio/13-00101-06.mp3,#incomplete किसानो को हल्की बूंदा बूंदी से ज्यादा फायदा नहीं हो रहा है और यही वजह है की किसान अब भी बारिश का इंतज़ार कर रहे हैं मानसून में हुई बेरुखी की वजह से जिले,Bihari,Adult,Female,,Serious,,Bihar,,1tZ649o2ayxCZSV2YBggDrXZchKS4EXPq,13-00101-06.mp3
13-00100-01,./Audio/13-00100-01.mp3,जिले सूखे की ओर बढ़ते चले जा रहे हैं इनका कहना हैं की अभी दो दिन ऐसी बारिश हो रही हैं जिससे लेकिन धन रोपाई के लिए इस बूंदा बूंदी बारिश ऐसी कोई फायदा नहीं,Bihari,Adult,Female,,Sad,,Bihar,audio_jump,1JMJ93eStQ63ArFyoReOwFinE0CvJgrWM,13-00100-01.mp3
13-00100-06,./Audio/13-00100-06.mp3,विशेषकर गोएंकर शिवालय में सावन के महीने में शिव भक्तों शिव भक्तों की भीड़ देखते ही बनती हैं बनती हैं तालाब में संगमरमर का रंगीन फव्वारा शिवालय की खूबसूरती में छबीस,Bihari,Adult,Female,,Happy,,Bihar,,1GmFG5mG8I-mR5DQI5HmcA89sz6PnslQe,13-00100-06.mp3
13-00102-02,./Audio/13-00102-02.mp3,खूबसूरती में छह चाँद लगा देता है देता है मुंगेर के लगभग सभी मुहल्ले में चप्पे बड़े शिवालया मंदिर हैं एवम मुंगेर में प्रभावित होती,Bihari,Adult,Female,,Serious,,Bihar,,1v9EKi6TH-tINETD3dUd3nU_8TG69Xqn8,13-00102-02.mp3
13-00102-03,./Audio/13-00102-03.mp3,हो रहा बिहार राज्य ऐसी ही मुंगेर जिले ऐसी दीपक कुमार अरे मोबाइल वाणी के माध्यम ऐसी बटा रहे हैं की विश्व प्रसिद्ध श्रावणी मेला में अब बस तीन दिन बचे हुए हैं जिला प्रसाशन,Bihari,Adult,Female,,Serious,,Bihar,,12r0fM9atWd3sjhz0IdKAiO8AqeI8khO5,13-00102-03.mp3
13-00102-06,./Audio/13-00102-06.mp3,प्रसाशन की तरफ ऐसी शौचालयों की मरम्मत और रंग रोगन का कार्य भी किया जा रहा है जिला प्रसाशन की तरफ ऐसी श्रावणी मेला को हाईटेक बनाने के लिए एक,Bihari,Adult,Female,,Serious,,Bihar,,1lHyV8v-jMu0ECtWvBsgRbLoqWNvWKlgs,13-00102-06.mp3
13-00103-03,./Audio/13-00103-03.mp3,तो श्रोताओं कैसा लगा आपको समाचार संध्या का यह अंश हमें ज़रूर बताएँ नंबर तीन दबा कर और ऐसे ही ख़बरों सुनते रहे मुंगेर मोबाइल वाणी,Bihari,Adult,Female,,Serious,,Bihar,,1o_TYABAYTqRygSF40nWJV2k7MMcCCWyz,13-00103-03.mp3
13-00103-02,./Audio/13-00103-02.mp3,बनाये की लिए एक नया एप जल्द ही लांच किया जायेगा जिसके माध्यम ऐसी कांवरियां सारी सुविधाएं प्राप्त कर सकते हैं,Bihari,Adult,Female,,Serious,,Bihar,,1TuBLBABjWT7TmvsH8iiQfeuriOWH0Qwv,13-00103-02.mp3
13-00129-01,./Audio/13-00129-01.mp3,नमस्कार आदाब श्रोताओं में श्वेता बिहार मोबाइल वाणी आरोप पेश करती हूँ पेश करती हूँ दोपहर की सुर्खियाँ,Accent_unknown,Adult,Female,Music,Serious,,Bihar,,1OyA2ogl6o7YfBK7Bj-6N41razu6P6FgK,13-00129-01.mp3
13-00129-02,./Audio/13-00129-02.mp3,सुर्खियाँ बिहार में सूखे की आहत आहत किसानों को पचास पड़ती लीटर डीजल अनुदान बिजली बिल में भी राहत मानसून की बेरुखी और सूखे की आहत,Bihari,Adult,Female,,Serious,,Bihar,,1c3rPwvj85wIv0dnUdB71274RF_RZ26Di,13-00129-02.mp3
13-00129-03,./Audio/13-00129-03.mp3,पहल की है किसानों को मिलने वाले डीजल अनुदान को चालीस वर पचास रुपये पड़ती लीटर कर दिया गया है कर दिया गया है सोमवार ऐसी अनुदान देने की,Bihari,Adult,Female,,Serious,,Bihar,,1dY6ghMLbuU45mqfVp9_-G-dVpB_XduxY,13-00129-03.mp3
13-00129-05,./Audio/13-00129-05.mp3,का तोहफा दिया है अब वह ट्रैक मैन अट्केंगी उनके टी टी इ बन ने का रास्ता साफ़ कर दिया है इस सम्बन्ध में रेलवे बोर्ड चेयरमैन अश्विनी लोहारी ने पत्र जारी कर दिया है,,,,,,,,audio_break,1wR9CwicrYoUXRbwowBVfs3NG_-od14IO,13-00129-05.mp3
13-00129-06,./Audio/13-00129-06.mp3,कर दिया है इस ऐसी पहले रेलवे रिक्रूटमेंट रेलवे रिक्रूटमेंट बोर्ड की और ऐसी सीधी भारती निकाल कर टी टी इ बनाया जाता है या परिचालन विभाग या वाणिज्य विभाग में कार्य करने वाले,,,,,,,,,11gq5MI7bnVAaSQnFBw65DXE1EVjbmYtO,13-00129-06.mp3
13-00130-01,./Audio/13-00130-01.mp3,करने वाले चतुर्थ वर्ग कर्मी ही,Bihari,Adult,Female,,Serious,,Bihar,,17OyQPxToxrruNYus_CprCMU8u6rkAmWg,13-00130-01.mp3
13-00130-02,./Audio/13-00130-02.mp3,घुमते रहे बदल नहीं बरसा पानी दस वर्षों में इस साल जुलाई में अबतक सबसे कम बारिश पटना शहर के लिए मौसम एक अनुभुज,Bihari,Adult,Female,,Serious,,Bihar,,1IjSoCDvUFgc2jp7Um-NIW296numiq91T,13-00130-02.mp3
13-00130-03,./Audio/13-00130-03.mp3,अनुभुज पहली बना हुआ हैं अब वर्षा की स्थिति में लोगों को बेचैन कर रखा हैं लोगो में बारिश की आभाव मैं व्याकुलता बढ़ती जा रही हैं इधर मानसून एवम और मौसम ऐसी जुडी,Bihari,Adult,Female,,Serious,,Bihar,,1CwVQaAmvK6zxUsC7DcncEYyo6Yyi8H_-,13-00130-03.mp3
13-00130-04,./Audio/13-00130-04.mp3,"जुडी दुश्वारी यों की कई रिकॉर्ड भंग हुए हैं हाल ही में बीस जुलाई को बीते छह सबसे अधिक तापमान दर्ज किया गया ['था', 'आज'] वर्षा का रिकॉर्ड भी",Bihari,Adult,Female,,Serious,,Bihar,,1kLDfZZdj-4x61O_4bslHHer_R8hj14kd,13-00130-04.mp3
13-00130-05,./Audio/13-00130-05.mp3,टूटने जा रहा हैं जानकारी के मुताबिक जुलाई माह में अब तक दो हजार आठ ऐसी लेकर दो हज़ार सत्रह यानि दस सालों में सबसे कम बारिश दर्ज हुई,Bihari,Adult,Female,,Serious,,Bihar,,1qhkwCHQt-g4iR2m6N4yCald9wTKmR3YO,13-00130-05.mp3
13-00130-06,./Audio/13-00130-06.mp3,में भी मानसून मेबह्र्बान नहीं हुआ तो पिछले एक दशक में सबसे कम बारिश दर्ज होगी तब मिलेगी चौव्वन हजार ऐसी ज्यादा नौकरी,Bihari,Adult,Female,,Serious,,Bihar,,1hYbKlCqHyigotzpQceLduVPAMkbWHgDX,13-00130-06.mp3
13-00128-01,./Audio/13-00128-01.mp3,ऐसी जयादा नौकरी केंद्रीय सरकार ने सरकारी नौकरियों का पिटारा खोल दिया है इस साल शुरू करने का फैसला किया है इसके तहत,Bhojpuri,Adult,Female,,Serious,,,,1cziHREplMgx80rLGF8DFqLS8wTbhtgj-,13-00128-01.mp3
13-00128-03,./Audio/13-00128-03.mp3,ने कुल चौवन हजार नौ सौ तेहत्तर के लिए विज्ञापन निकाला है लेकिन लेकिन इस में सर्वाधिक सरकारी नौकरियाँ देश के देश के सबसे बड़े अर्धसैनिक बल सी आर पी जी एफ के लिया है,,,,,,,,,1FLG3K024eJ_duMEN_eZXHHDOyQ2j6FTH,13-00128-03.mp3
13-00128-04,./Audio/13-00128-04.mp3,के लिए है सी आर पी जी एफ में इक्कीस सौ छियासठ पदों आरोप नियुक्ति होनी है सरकारी नौकरियों के ताजे विज्ञापन में,,,,,,,,,1omkw8yIbEK93fVbDklM9yUoT4_LyCk_a,13-00128-04.mp3
