utt_id,audio_path,reference,Accent,Age,Gender,Background,Sentiment,District,State,Other,audio_drive_id,audio_filename,location_source,normalized_district,normalized_state,content_type,topic_status,topics,failure_mode,entities,affected_population,translated_text
13-00241-06,./Audio/13-00241-06.mp3,बच्चों का भविष्य अंधकारमय हो गया है धन्यवाद,Bihari,Adult,Male,,,Madhubani,Bihar,,1Gb1LRvXjbjvRlA3ftrmDyX_1v5r8sxC3,13-00241-06.mp3,metadata,Madhubani,Bihar,platform_broadcast_bumper,not_applicable,[],[],[],[],Community caller report regarding local condition: 'बच्चों का भविष्य अंधकारमय हो गया है धन्यवाद'
13-00242-04,./Audio/13-00242-04.mp3,आरोप पुलिस के हट कोई सफलता नही मिली,Bihari,Adult,Male,,,Samastipur,Bihar,,1fWMigCrCm3xwOOikXoUQhyURCHD4fUzp,13-00242-04.mp3,metadata,Samastipur,Bihar,citizen_grievance,substantive,"[{'domain': 'Rural Roads & Physical Connectivity', 'theme': 'Road Connectivity & Bridge Infrastructure', 'issue': 'Dilapidated Roads, Potholes & Missing Culverts', 'confidence': 0.91}, {'domain': 'Governance & Social Entitlements', 'theme': 'Law, Order & Public Safety', 'issue': 'Police Responsiveness & Thana Grievance Redressal', 'confidence': 0.89}]",['infrastructure_damage'],[],[],Community caller report regarding local condition: 'आरोप पुलिस के हट कोई सफलता नही मिली'
13-00243-02,./Audio/13-00243-02.mp3,नमस्कार मुजफ्फरपुर मोबइलवाणी में आपका स्वागत है खुरनी ऐसी में नवीन कुमार अंकी गाँव में घर का निर्माण करा रहे है गाँव के ही,,Adult,Male,,,Muzaffarpur,Bihar,inaudible,1TEn8-ZsX_nHZG9-sy85q5-h-4wj3qOJ1,13-00243-02.mp3,metadata,Muzaffarpur,Bihar,platform_broadcast_bumper,not_applicable,[],[],[],[],Community caller report regarding local condition: 'नमस्कार मुजफ्फरपुर मोबइलवाणी में आपका स्वागत है खुरनी ऐसी में नवीन कुमार अंकी गाँव में घर का निर्माण करा रहे है गाँव के ही'
13-00243-03,./Audio/13-00243-03.mp3,"कुछ लोगो ने ['मारपीट', 'कर'] घायल कर दिया घायल परिवार खुरनी पी जी एस सी में कराया गया वही इस मामले को लेकर चार लोगो के खिलाफ नामजद प्राथमिकी दर्ज कराई",,Adult,Male,,,Muzaffarpur,Bihar,inaudible,1p-raaGOh6Xo3Dt4vhF2ZL-j7MDVhny59,13-00243-03.mp3,metadata,Muzaffarpur,Bihar,platform_broadcast_bumper,not_applicable,[],[],[],[],"Community caller report regarding local condition: 'कुछ लोगो ने ['मारपीट', 'कर'] घायल कर दिया घायल परिवार खुरनी पी जी एस सी में कराया गया वही इस मामले को लेकर चार लोगो के खिलाफ नामजद प्राथमिकी दर्ज कराई'"
13-00243-04,./Audio/13-00243-04.mp3,दर्ज कराई है अध्यक्ष अमन अशरफ ने बताया की प्राथमिकी दर्ज कर कार्यवाही शुरू कर दी गयी है,,Adult,Male,,,Muzaffarpur,Bihar,inaudible,1u59HeNXCtWW7seJANbPpRi4RnoxqOhPk,13-00243-04.mp3,metadata,Muzaffarpur,Bihar,platform_broadcast_bumper,not_applicable,[],[],[],[],Community caller report regarding local condition: 'दर्ज कराई है अध्यक्ष अमन अशरफ ने बताया की प्राथमिकी दर्ज कर कार्यवाही शुरू कर दी गयी है'
13-00243-05,./Audio/13-00243-05.mp3,समस्तीपुर मोबइलवाणी ऐसी में संजय कुमार बबलू बिहार मोबइलवाणी के लिए लाया हूँ समस्तीपुर बिहार में बड़े पैमाने आरोप नकली बातों की तस्करी,Bihari,Adult,Male,,,Samastipur,Bihar,,1OQYm5UcPjgkT-QchLrh_054B792NCW1W,13-00243-05.mp3,metadata,Samastipur,Bihar,platform_broadcast_bumper,not_applicable,[],[],[],[],Community caller report regarding local condition: 'समस्तीपुर मोबइलवाणी ऐसी में संजय कुमार बबलू बिहार मोबइलवाणी के लिए लाया हूँ समस्तीपुर बिहार में बड़े पैमाने आरोप नकली बातों की तस्करी'
13-00243-06,./Audio/13-00243-06.mp3,की तस्करी हो रही है और इस तस्करी समस्तीपुर जिला भी अछुता नहीं है ये नोट पडोसी देश ऐसी छपकर बिहार के रस्ते आ रहे है,Bihari,Adult,Male,,,Samastipur,Bihar,,1ir0ZF3F683NvNJNyO3qcB5jjBiEj3cdZ,13-00243-06.mp3,metadata,Samastipur,Bihar,platform_broadcast_bumper,not_applicable,[],[],[],[],Community caller report regarding local condition: 'की तस्करी हो रही है और इस तस्करी समस्तीपुर जिला भी अछुता नहीं है ये नोट पडोसी देश ऐसी छपकर बिहार के रस्ते आ रहे है'
13-00244-02,./Audio/13-00244-02.mp3,समस्तीपुर प्रशासन नकली बातों की रोक के लिए काफी सक्रिय दिख रही है जैसे की वो पिछले पाँच वर्ष के दौरान,,Adult,Male,,,Samastipur,Bihar,,1YsMOr2TlBCbzFvyejRFgKnuHuH27sgzv,13-00244-02.mp3,metadata,Samastipur,Bihar,platform_broadcast_bumper,not_applicable,[],[],[],[],Community caller report regarding local condition: 'समस्तीपुर प्रशासन नकली बातों की रोक के लिए काफी सक्रिय दिख रही है जैसे की वो पिछले पाँच वर्ष के दौरान'
13-00244-03,./Audio/13-00244-03.mp3,बिहार राज में जाली नोट के दस बड़े मामले पकड़े गए है चार करोड़ पचीस लाख जाली नोट बरामद किये गए है और सत्रह तसकर भी पकड़े गए है,Bihari,Adult,Male,,,Samastipur,Bihar,,1nQVqp_ca-hjVlgL6JxM8bBKSDywXdpt3,13-00244-03.mp3,metadata,Samastipur,Bihar,platform_broadcast_bumper,not_applicable,[],[],[],[],Community caller report regarding local condition: 'बिहार राज में जाली नोट के दस बड़े मामले पकड़े गए है चार करोड़ पचीस लाख जाली नोट बरामद किये गए है और सत्रह तसकर भी पकड़े गए है'
13-00244-04,./Audio/13-00244-04.mp3,खुफिया और सुरक्षा एजेंसियों की लगातार चौकीदारी है नेपाल बिहार सीमा आरोप एस एस बी को ज्यादा अलर्ट कर दिया गया है और आने जाने वालों को,Bihari,Adult,Male,,,Samastipur,Bihar,,1zXNda1WiUf6heiK7mHWtpULVLaFKHWt9,13-00244-04.mp3,metadata,Samastipur,Bihar,citizen_grievance,substantive,"[{'domain': 'Energy & Rural Electrification', 'theme': 'Electricity Supply & Power Grid Stability', 'issue': 'Frequent Power Outages, Low Voltage & Burnt Transformers', 'confidence': 0.92}]",['infrastructure_damage'],[],[],Community caller report regarding local condition: 'खुफिया और सुरक्षा एजेंसियों की लगातार चौकीदारी है नेपाल बिहार सीमा आरोप एस एस बी को ज्यादा अलर्ट कर दिया गया है और आने जाने वालों को'
13-00244-05,./Audio/13-00244-05.mp3,ठीक ऐसी तालाश के लिए की गयी है,Bihari,Adult,Male,,,Samastipur,Bihar,,13eKpCjiMLnIZWXkvvOuRo62z2qP-O87g,13-00244-05.mp3,metadata,Samastipur,Bihar,platform_broadcast_bumper,not_applicable,[],[],[],[],Community caller report regarding local condition: 'ठीक ऐसी तालाश के लिए की गयी है'
13-00244-06,./Audio/13-00244-06.mp3,बिहार मोबइल वाणी के लिए मैं समस्तीपुर मोबइल वाणी से संजय कुमार बबलू समस्तीपुर में,Bihari,Adult,Male,,,Samastipur,Bihar,,1MxcC4DGAAz_CEfp6SDOXIVMjHtDlYW1y,13-00244-06.mp3,metadata,Samastipur,Bihar,platform_broadcast_bumper,not_applicable,[],[],[],[],Community caller report regarding local condition: 'बिहार मोबइल वाणी के लिए मैं समस्तीपुर मोबइल वाणी से संजय कुमार बबलू समस्तीपुर में'
13-00246-03,./Audio/13-00246-03.mp3,ऐसी घर लौट रहा था हरकपुर चौक ऐसी कुछ आगे बढ़ने के बाद तीन अज्ञात अपराधियों ने पीछे ऐसी ओवरटेक कर चाभी छीनकर फ़ेंक दिया,,Adult,Male,,,Samastipur,Bihar,,1iqsuNkxDGHAIpIuAi8E-e2FiGsjfhYfa,13-00246-03.mp3,metadata,Samastipur,Bihar,platform_broadcast_bumper,not_applicable,[],[],[],[],Community caller report regarding local condition: 'ऐसी घर लौट रहा था हरकपुर चौक ऐसी कुछ आगे बढ़ने के बाद तीन अज्ञात अपराधियों ने पीछे ऐसी ओवरटेक कर चाभी छीनकर फ़ेंक दिया'
13-00246-05,./Audio/13-00246-05.mp3,थाना अध्यक्ष राजकमल किशोर कुमार का कहना है की पोस्त्मार्तम कराकर शव को परिजनों को सौप दिया गया है और अपराधियों की तलाश की जा रही है,,Adult,Male,,,Samastipur,Bihar,,1hIMZJ1PyZ56k8k8jSHl8e9CsbM37Evzo,13-00246-05.mp3,metadata,Samastipur,Bihar,citizen_grievance,substantive,"[{'domain': 'Governance & Social Entitlements', 'theme': 'Law, Order & Public Safety', 'issue': 'Police Responsiveness & Thana Grievance Redressal', 'confidence': 0.89}]",['non_responsiveness'],[],[],Community caller report regarding local condition: 'थाना अध्यक्ष राजकमल किशोर कुमार का कहना है की पोस्त्मार्तम कराकर शव को परिजनों को सौप दिया गया है और अपराधियों की तलाश की जा रही है'
13-00246-06,./Audio/13-00246-06.mp3,घटना के परिजनों का रो रोकर बुरा हाल है मृतक' की पत्नी देवयानी कुमारी पेशे ऐसी शिक्षिका है मृतक' की पुत्री सुहानी भारतीय अनुराग भारती,,Adult,Male,,,Samastipur,Bihar,inaudible,1LPQ2bawNjyLIXxExIUen58jJLEFWdNrc,13-00246-06.mp3,metadata,Samastipur,Bihar,platform_broadcast_bumper,not_applicable,[],[],[],[],Community caller report regarding local condition: 'घटना के परिजनों का रो रोकर बुरा हाल है मृतक' की पत्नी देवयानी कुमारी पेशे ऐसी शिक्षिका है मृतक' की पुत्री सुहानी भारतीय अनुराग भारती'
13-00247-02,./Audio/13-00247-02.mp3,मैं दिलीप पांडे जमुई,Bihari,Adult,Male,,,Jamui,Bihar,audio_jump,14EJ1V3dcptABpsiVJfGGv8XCsjgDlaUa,13-00247-02.mp3,metadata,Jamui,Bihar,platform_broadcast_bumper,not_applicable,[],[],[],[],Community caller report regarding local condition: 'मैं दिलीप पांडे जमुई'
13-00247-06,./Audio/13-00247-06.mp3,यह बहुत अच्छी सेवा हैं जिससे हर व्यक्ति पसंद कर रहे हैं जम्मुई जिले के धन्यवाद दिलीप पांडे जमुई खैरा ऐसी मोबइलवाणी ऐसी धन्यवाद,Bihari,Adult,Male,,,Jamui,Bihar,,1C35AqmBSTAJaIr5_wqQdmQXcPiPtnWrS,13-00247-06.mp3,metadata,Jamui,Bihar,platform_broadcast_bumper,not_applicable,[],[],[],[],Community caller report regarding local condition: 'यह बहुत अच्छी सेवा हैं जिससे हर व्यक्ति पसंद कर रहे हैं जम्मुई जिले के धन्यवाद दिलीप पांडे जमुई खैरा ऐसी मोबइलवाणी ऐसी धन्यवाद'
13-00252-01,./Audio/13-00252-01.mp3,नमस्कार धनबाद मोबाइल मीडिया ऐसी आज जागरण ऐसी सभी लोगों को आकर्षित हैं भक्तों में पूरी धूम मछी हुई हैं माँ दुर्गा की कृपा ऐसी धन्यवाद,Accent_unknown,Adult,Male,,Happy,Dhanbad,Jharkhand,inaudible,1mIF--Mcb2F1XgGtcAns0e4wEY0IvDh3U,13-00252-01.mp3,metadata,Dhanbad,Jharkhand,platform_broadcast_bumper,not_applicable,[],[],[],[],Community caller report regarding local condition: 'नमस्कार धनबाद मोबाइल मीडिया ऐसी आज जागरण ऐसी सभी लोगों को आकर्षित हैं भक्तों में पूरी धूम मछी हुई हैं माँ दुर्गा की कृपा ऐसी धन्यवाद'
13-00252-02,./Audio/13-00252-02.mp3,नमस्कार धनबाद मोबाइल शाजहाँ तारा तोपचाँची अट्ठाईस पंचायत,Accent_unknown,Adult,Male,,,Dhanbad,Jharkhand,"audio_jump,inaudible",1PpYSJ3ZHaHEWNW3_dyzlYIQT20h7T9Bw,13-00252-02.mp3,metadata,Dhanbad,Jharkhand,citizen_grievance,substantive,"[{'domain': 'Energy & Rural Electrification', 'theme': 'Electricity Supply & Power Grid Stability', 'issue': 'Frequent Power Outages, Low Voltage & Burnt Transformers', 'confidence': 0.92}]",['infrastructure_damage'],[],[],Community caller report regarding local condition: 'नमस्कार धनबाद मोबाइल शाजहाँ तारा तोपचाँची अट्ठाईस पंचायत'
13-00252-06,./Audio/13-00252-06.mp3,नमस्कार चंपारण मोबइलवाणी ऐसी भागलपुर ऐसी कुबेर पांडे अभिनन्दन प्रखंड के हेतु पूजा पंडालो में भगवती महा गौरी की पूजा बहुत ही भक्ति भाव ऐसी किया गया,Accent_unknown,Adult,Male,,Happy,Bhagalpur,Bihar,audio_jump,1gEC83zchaLCPXQkfDm2SthzkzaV90OG_,13-00252-06.mp3,metadata,Bhagalpur,Bihar,platform_broadcast_bumper,not_applicable,[],[],[],[],Community caller report regarding local condition: 'नमस्कार चंपारण मोबइलवाणी ऐसी भागलपुर ऐसी कुबेर पांडे अभिनन्दन प्रखंड के हेतु पूजा पंडालो में भगवती महा गौरी की पूजा बहुत ही भक्ति भाव ऐसी किया गया'
13-00254-01,./Audio/13-00254-01.mp3,परन्तु यह सरकार ने जिस जब प्रथम बार बने थे तो कुछ नम्बर समय सडकों का बिछा जाने लगा था था लेकिन आज,Lucknowi,Adult,Male,,,Lucknow,Uttar_pradesh,"audio_jump,inaudible",1xCtgAq2sgDH0ukSQWtQpvkLp3Xiz7gY0,13-00254-01.mp3,metadata,Lucknow,Uttar_pradesh,platform_broadcast_bumper,not_applicable,[],[],[],[],Community caller report regarding local condition: 'परन्तु यह सरकार ने जिस जब प्रथम बार बने थे तो कुछ नम्बर समय सडकों का बिछा जाने लगा था था लेकिन आज'
13-00254-03,./Audio/13-00254-03.mp3,आज ऐसा क्या हो गया की सड़कों की गुलदस्ता घाट गयी हैं जैसे तैसे संहिता द्वारा काली की वो ज़रूरी नहीं समझती,Lucknowi,Adult,Male,,,Lucknow,Uttar_pradesh,inaudible,1hx9M7E3aHmsivYE6RuxLJtkbzNbkToI_,13-00254-03.mp3,metadata,Lucknow,Uttar_pradesh,platform_broadcast_bumper,not_applicable,[],[],[],[],Community caller report regarding local condition: 'आज ऐसा क्या हो गया की सड़कों की गुलदस्ता घाट गयी हैं जैसे तैसे संहिता द्वारा काली की वो ज़रूरी नहीं समझती'
13-00254-06,./Audio/13-00254-06.mp3,उखाड़ रहा हैं सरकार के मंत्री संवेदक तक ज़रूरी हैं कोई देखने वाला नहीं हैं,Lucknowi,Adult,Male,,,Lucknow,Uttar_pradesh,inaudible,1q_znXztY1LfJR5aJxHk3mkJ9K8LSKPAZ,13-00254-06.mp3,metadata,Lucknow,Uttar_pradesh,platform_broadcast_bumper,not_applicable,[],[],[],[],Community caller report regarding local condition: 'उखाड़ रहा हैं सरकार के मंत्री संवेदक तक ज़रूरी हैं कोई देखने वाला नहीं हैं'
13-00292-02,./Audio/13-00292-02.mp3,राष्ट्रीय हैण्ड बॉल के लिए किया गया था जिसमे केंद्रीय विद्द्यालय जमालपुर के बच्चों ने भग लिया था शाम में बचे जमालपुर लौट अये हैं तथा यहाँ,Bihari,Adult,Male,,Happy,Munger,Bihar,audio_jump,1hzC-AlOdklvMH_g7kYVbpr1i86oT1Egp,13-00292-02.mp3,metadata,Munger,Bihar,platform_broadcast_bumper,not_applicable,[],[],[],[],Community caller report regarding local condition: 'राष्ट्रीय हैण्ड बॉल के लिए किया गया था जिसमे केंद्रीय विद्द्यालय जमालपुर के बच्चों ने भग लिया था शाम में बचे जमालपुर लौट अये हैं तथा यहाँ'
13-00309-01,./Audio/13-00309-01.mp3,में राजीव कुमार ठाकुर जिला मुंगेर मुंगेर की आवाज़ ऐसी शहर को दो चरणों में किया जायेगा अतिक्रमण मुक्त मुंगेर जिला में अतिक्रमण मुक्त करने के लिए शहर में दो चरणों में,Accent_unknown,Adult,Male,,,Munger,Bihar,audio_jump,1eUaddwAW5I0yO4nYJ6tqPT8B5ns88n5m,13-00309-01.mp3,metadata,Munger,Bihar,platform_broadcast_bumper,not_applicable,[],[],[],[],Community caller report regarding local condition: 'में राजीव कुमार ठाकुर जिला मुंगेर मुंगेर की आवाज़ ऐसी शहर को दो चरणों में किया जायेगा अतिक्रमण मुक्त मुंगेर जिला में अतिक्रमण मुक्त करने के लिए शहर में दो चरणों में'
13-00362-02,./Audio/13-00362-02.mp3,नमस्कार मुंगेर की आवाज में आपका स्वागत है में विपिन कुमार जिला मुंगेर ऐसी दीपावली और आतिशबाजी आज पुरे बिहार में दीपावली आरोप खूब आतिशबाजी होती है,Bihari,Adult,Male,,,Munger,Bihar,,1JKPYWQIOeNTyonfRYM5dNYZ_smX9xn18,13-00362-02.mp3,metadata,Munger,Bihar,platform_broadcast_bumper,not_applicable,[],[],[],[],Community caller report regarding local condition: 'नमस्कार मुंगेर की आवाज में आपका स्वागत है में विपिन कुमार जिला मुंगेर ऐसी दीपावली और आतिशबाजी आज पुरे बिहार में दीपावली आरोप खूब आतिशबाजी होती है'
13-00362-03,./Audio/13-00362-03.mp3,मगर पटाखे चलाना वर्तमान परिस्थिति में अपर्जैविक लगता है,Bihari,Adult,Male,,,Munger,Bihar,inaudible,1XzZar1LBaj2Vkb1d7Jt5IP0aUTgw-nSd,13-00362-03.mp3,metadata,Munger,Bihar,platform_broadcast_bumper,not_applicable,[],[],[],[],Community caller report regarding local condition: 'मगर पटाखे चलाना वर्तमान परिस्थिति में अपर्जैविक लगता है'
13-00362-04,./Audio/13-00362-04.mp3,निकाले प्रदूषण अनेक रोंगो को आमंत्रित कर रहे है और अनेक प्राकृतिक अपदाओ को झेल रहे है,Bihari,Adult,Male,,,Munger,Bihar,,1UwXgSGW_U4nay3owNyUpTqESd5HCOly_,13-00362-04.mp3,metadata,Munger,Bihar,platform_broadcast_bumper,not_applicable,[],[],[],[],Community caller report regarding local condition: 'निकाले प्रदूषण अनेक रोंगो को आमंत्रित कर रहे है और अनेक प्राकृतिक अपदाओ को झेल रहे है'
13-00362-06,./Audio/13-00362-06.mp3,शोर हो जाता है शोर शराबे से ध्वनी प्रदूषण लगता है ऐसे में क्या यह अच्छा न हो की हम इस खुशी के अवसर पर,Bihari,Adult,Male,,,Munger,Bihar,,1S0xUQa0ACEyvBf60z0T97VKLrCY0Zs0G,13-00362-06.mp3,metadata,Munger,Bihar,platform_broadcast_bumper,not_applicable,[],[],[],[],Community caller report regarding local condition: 'शोर हो जाता है शोर शराबे से ध्वनी प्रदूषण लगता है ऐसे में क्या यह अच्छा न हो की हम इस खुशी के अवसर पर'
13-00381-01,./Audio/13-00381-01.mp3,न तो किसान खेती कर प्रकार रहे है और न तो बच्चे अपने यहाँ बैठ के पढ़ाई कर प्रकार रहे है कमालपुर गाँव में हर बार की तरह इस बार भी दुर्घटनाओं में वृद्धि हुई है,Bihari,Adult,Male,,Serious,Dhalai,Bihar,,12a7tORHn-vqBRXxDE743RIYzbT01CoL6,13-00381-01.mp3,metadata,Dhalai,Bihar,platform_broadcast_bumper,not_applicable,[],[],[],[],Community caller report regarding local condition: 'न तो किसान खेती कर प्रकार रहे है और न तो बच्चे अपने यहाँ बैठ के पढ़ाई कर प्रकार रहे है कमालपुर गाँव में हर बार की तरह इस बार भी दुर्घटनाओं में वृद्धि हुई है'
13-00381-04,./Audio/13-00381-04.mp3,और यहाँ के इंसान ही पिछले तीन छह साल ऐसी दिवाली अंधेरे में ही माना रहे है उन्हें उजाले का तो नाम ही पता नहीं,Bihari,Adult,Male,,Serious,Dhalai,Bihar,,1Uxi9Ua6ZMd-dRnQbWAfFeaLte3aJbgqY,13-00381-04.mp3,metadata,Dhalai,Bihar,platform_broadcast_bumper,not_applicable,[],[],[],[],Community caller report regarding local condition: 'और यहाँ के इंसान ही पिछले तीन छह साल ऐसी दिवाली अंधेरे में ही माना रहे है उन्हें उजाले का तो नाम ही पता नहीं'
13-00381-05,./Audio/13-00381-05.mp3,इसलिए मेरा हमारी राज्य सरकार ऐसी विनम्र निवेदन है की आप जल्द ऐसी जल्द बिजली कारवाई जाए जिससे यहाँ आरोप रहने वाले हर इंसान अपनी,Bihari,Adult,Male,,Serious,Dhalai,Bihar,,1Etcfb6GPLeEKlObbWQI6Q0Xe8PjB8dpm,13-00381-05.mp3,metadata,Dhalai,Bihar,citizen_grievance,substantive,"[{'domain': 'Energy & Rural Electrification', 'theme': 'Electricity Supply & Power Grid Stability', 'issue': 'Frequent Power Outages, Low Voltage & Burnt Transformers', 'confidence': 0.92}]",['infrastructure_damage'],[],[],Community caller report regarding local condition: 'इसलिए मेरा हमारी राज्य सरकार ऐसी विनम्र निवेदन है की आप जल्द ऐसी जल्द बिजली कारवाई जाए जिससे यहाँ आरोप रहने वाले हर इंसान अपनी'
